framework,run_index,layer_stage,layer_label,handler_ts_ms,db_gone_ts_ms,gap_ms,db_still_active
aspnet,1,service,service,1780041472174,1780041472203,-29,1
aspnet,1,controller,controller,1780041472175,1780041472203,-28,1
aspnet,2,service,service,1780041488231,1780041488242,-11,1
aspnet,2,controller,controller,1780041488231,1780041488242,-11,1
aspnet,3,service,service,1780041504305,1780041504450,-145,1
aspnet,3,controller,controller,1780041504305,1780041504450,-145,1
aspnet,4,service,service,1780041520373,1780041520521,-148,1
aspnet,4,controller,controller,1780041520373,1780041520521,-148,1
aspnet,5,service,service,1780041536443,1780041536449,-6,1
aspnet,5,controller,controller,1780041536443,1780041536449,-6,1
aspnet,6,service,service,1780041552515,1780041552534,-19,1
aspnet,6,controller,controller,1780041552515,1780041552534,-19,1
aspnet,7,service,service,1780041568583,1780041568630,-47,1
aspnet,7,controller,controller,1780041568583,1780041568630,-47,1
aspnet,8,service,service,1780041584662,1780041584689,-27,1
aspnet,8,controller,controller,1780041584662,1780041584689,-27,1
aspnet,9,service,service,1780041600730,1780041600748,-18,1
aspnet,9,controller,controller,1780041600730,1780041600748,-18,1
aspnet,10,service,service,1780041616805,1780041616959,-154,1
aspnet,10,controller,controller,1780041616805,1780041616959,-154,1
webflux,1,db,repository (R2DBC),1780041648638,1780041652875,-4237,1
webflux,1,service,service,1780041648638,1780041652875,-4237,1
webflux,1,controller,controller,1780041648638,1780041652875,-4237,1
webflux,2,db,repository (R2DBC),1780041666944,1780041671003,-4059,1
webflux,2,service,service,1780041666944,1780041671003,-4059,1
webflux,2,controller,controller,1780041666944,1780041671003,-4059,1
webflux,3,db,repository (R2DBC),1780041685073,1780041689184,-4111,1
webflux,3,service,service,1780041685073,1780041689184,-4111,1
webflux,3,controller,controller,1780041685073,1780041689184,-4111,1
webflux,4,db,repository (R2DBC),1780041703252,1780041707325,-4073,1
webflux,4,service,service,1780041703252,1780041707325,-4073,1
webflux,4,controller,controller,1780041703252,1780041707325,-4073,1
webflux,5,db,repository (R2DBC),1780041721392,1780041725486,-4094,1
webflux,5,service,service,1780041721392,1780041725486,-4094,1
webflux,5,controller,controller,1780041721392,1780041725486,-4094,1
webflux,6,db,repository (R2DBC),1780041739556,1780041743593,-4037,1
webflux,6,service,service,1780041739556,1780041743593,-4037,1
webflux,6,controller,controller,1780041739556,1780041743593,-4037,1
webflux,7,db,repository (R2DBC),1780041757662,1780041761763,-4101,1
webflux,7,service,service,1780041757662,1780041761763,-4101,1
webflux,7,controller,controller,1780041757662,1780041761763,-4101,1
webflux,8,db,repository (R2DBC),1780041775840,1780041779966,-4126,1
webflux,8,service,service,1780041775840,1780041779966,-4126,1
webflux,8,controller,controller,1780041775840,1780041779966,-4126,1
webflux,9,db,repository (R2DBC),1780041794038,1780041798141,-4103,1
webflux,9,service,service,1780041794038,1780041798141,-4103,1
webflux,9,controller,controller,1780041794038,1780041798141,-4103,1
webflux,10,db,repository (R2DBC),1780041812228,1780041816348,-4120,1
webflux,10,service,service,1780041812228,1780041816348,-4120,1
webflux,10,controller,controller,1780041812228,1780041816348,-4120,1
aspnet,1,service,service,1780043177672,1780043177795,-123,1
aspnet,1,controller,controller,1780043177672,1780043177795,-123,1
aspnet,2,service,service,1780043193728,1780043193732,-4,1
aspnet,2,controller,controller,1780043193728,1780043193732,-4,1
aspnet,3,service,service,1780043209802,1780043209841,-39,1
aspnet,3,controller,controller,1780043209802,1780043209841,-39,1
aspnet,4,service,service,1780043225870,1780043226020,-150,1
aspnet,4,controller,controller,1780043225870,1780043226020,-150,1
aspnet,5,service,service,1780043241943,1780043241976,-33,1
aspnet,5,controller,controller,1780043241943,1780043241976,-33,1
aspnet,6,service,service,1780043258015,1780043258162,-147,1
aspnet,6,controller,controller,1780043258015,1780043258162,-147,1
aspnet,7,service,service,1780043274081,1780043274122,-41,1
aspnet,7,controller,controller,1780043274081,1780043274122,-41,1
aspnet,8,service,service,1780043290152,1780043290158,-6,1
aspnet,8,controller,controller,1780043290152,1780043290158,-6,1
aspnet,9,service,service,1780043306216,1780043306220,-4,1
aspnet,9,controller,controller,1780043306216,1780043306220,-4,1
aspnet,10,service,service,1780043322288,1780043322421,-133,1
aspnet,10,controller,controller,1780043322288,1780043322421,-133,1
webflux,1,db,repository doOnCancel,1780043354107,1780043358390,-4283,1
webflux,1,db,repository doFinally,1780043354108,1780043358390,-4282,1
webflux,1,service,service doOnCancel,1780043354107,1780043358390,-4283,1
webflux,1,service,service doFinally,1780043354108,1780043358390,-4282,1
webflux,1,controller,controller doOnCancel,1780043354107,1780043358390,-4283,1
webflux,2,db,repository doOnCancel,1780043372460,1780043376633,-4173,1
webflux,2,db,repository doFinally,1780043372461,1780043376633,-4172,1
webflux,2,service,service doOnCancel,1780043372460,1780043376633,-4173,1
webflux,2,service,service doFinally,1780043372461,1780043376633,-4172,1
webflux,2,controller,controller doOnCancel,1780043372460,1780043376633,-4173,1
webflux,3,db,repository doOnCancel,1780043390701,1780043394878,-4177,1
webflux,3,db,repository doFinally,1780043390702,1780043394878,-4176,1
webflux,3,service,service doOnCancel,1780043390701,1780043394878,-4177,1
webflux,3,service,service doFinally,1780043390702,1780043394878,-4176,1
webflux,3,controller,controller doOnCancel,1780043390701,1780043394878,-4177,1
webflux,4,db,repository doOnCancel,1780043408946,1780043413117,-4171,1
webflux,4,db,repository doFinally,1780043408946,1780043413117,-4171,1
webflux,4,service,service doOnCancel,1780043408946,1780043413117,-4171,1
webflux,4,service,service doFinally,1780043408946,1780043413117,-4171,1
webflux,4,controller,controller doOnCancel,1780043408946,1780043413117,-4171,1
webflux,5,db,repository doOnCancel,1780043427188,1780043431337,-4149,1
webflux,5,db,repository doFinally,1780043427188,1780043431337,-4149,1
webflux,5,service,service doOnCancel,1780043427188,1780043431337,-4149,1
webflux,5,service,service doFinally,1780043427188,1780043431337,-4149,1
webflux,5,controller,controller doOnCancel,1780043427188,1780043431337,-4149,1
webflux,6,db,repository doOnCancel,1780043445405,1780043449441,-4036,1
webflux,6,db,repository doFinally,1780043445405,1780043449441,-4036,1
webflux,6,service,service doOnCancel,1780043445405,1780043449441,-4036,1
webflux,6,service,service doFinally,1780043445405,1780043449441,-4036,1
webflux,6,controller,controller doOnCancel,1780043445405,1780043449441,-4036,1
webflux,7,db,repository doOnCancel,1780043463510,1780043467686,-4176,1
webflux,7,db,repository doFinally,1780043463510,1780043467686,-4176,1
webflux,7,service,service doOnCancel,1780043463509,1780043467686,-4177,1
webflux,7,service,service doFinally,1780043463510,1780043467686,-4176,1
webflux,7,controller,controller doOnCancel,1780043463509,1780043467686,-4177,1
webflux,8,db,repository doOnCancel,1780043481758,1780043485891,-4133,1
webflux,8,db,repository doFinally,1780043481759,1780043485891,-4132,1
webflux,8,service,service doOnCancel,1780043481758,1780043485891,-4133,1
webflux,8,service,service doFinally,1780043481759,1780043485891,-4132,1
webflux,8,controller,controller doOnCancel,1780043481758,1780043485891,-4133,1
webflux,9,db,repository doOnCancel,1780043499960,1780043503980,-4020,1
webflux,9,db,repository doFinally,1780043499961,1780043503980,-4019,1
webflux,9,service,service doOnCancel,1780043499960,1780043503980,-4020,1
webflux,9,service,service doFinally,1780043499961,1780043503980,-4019,1
webflux,9,controller,controller doOnCancel,1780043499960,1780043503980,-4020,1
webflux,10,db,repository doOnCancel,1780043518051,1780043522211,-4160,1
webflux,10,db,repository doFinally,1780043518051,1780043522211,-4160,1
webflux,10,service,service doOnCancel,1780043518051,1780043522211,-4160,1
webflux,10,service,service doFinally,1780043518051,1780043522211,-4160,1
webflux,10,controller,controller doOnCancel,1780043518051,1780043522211,-4160,1
